item,a1,d,question,group,id
na dwór/na pole,3.33241199770145,0.659387972813032,"MIEJSCA, GDZIE MOŻNA PÓJŚĆ: Czy dziecko mówi...",mowa,item_321
park/ogród,3.98545717673173,-1.10919637299903,"MIEJSCA, GDZIE MOŻNA PÓJŚĆ: Czy dziecko mówi...",mowa,item_322
szkoła/przedszkole,4.04349907265398,0.10360632582828,"MIEJSCA, GDZIE MOŻNA PÓJŚĆ: Czy dziecko mówi...",mowa,item_329
doktor/lekarz,5.31405349652828,0.0926234773436356,OSOBY: Czy dziecko mówi...,mowa,item_336
dziadek/dziadzio,2.08391321127121,2.57624673772638,OSOBY: Czy dziecko mówi...,mowa,item_337
dzidzi/dzidziuś,1.84623647892811,1.92132311814726,OSOBY: Czy dziecko mówi...,mowa,item_338
imię zwierzątka,2.13418921929198,0.131927868021559,OSOBY: Czy dziecko mówi...,mowa,item_343
kolega/koleżanka,4.48933775476879,-1.33706897865792,OSOBY: Czy dziecko mówi...,mowa,item_344
król/królewna,4.25490451534373,-1.33343542847066,OSOBY: Czy dziecko mówi...,mowa,item_346
mama/mamusia,1.21454455283567,3.69998587026337,OSOBY: Czy dziecko mówi...,mowa,item_349
tata/tatuś,1.41445764952813,3.57584290564493,OSOBY: Czy dziecko mówi...,mowa,item_355
własne imię dziecka,2.33453153973825,1.54530925132467,OSOBY: Czy dziecko mówi...,mowa,item_356
dzień dobry,3.72064771396242,0.498416930961228,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_359
do widzenia,3.37392801296482,0.342482177905384,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_360
"pa, pa",1.52225324605758,3.84540928413533,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_366
siusiu/siku/sisi,2.29199878439977,2.68589224113192,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_372
kosi-kosi łapci,1.57498077774515,0.47485044456462,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_374
idzie rak nieborak,2.49924253917162,-0.167520722885259,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_375
sroczka kaszkę warzyła,1.73503681546854,-0.698298937187783,"FORMUŁY, ZABAWY, RUTYNOWE CZYNNOŚCI: Czy dziecko mówi...",mowa,item_376
cacy/cacany,1.05565191936029,-0.0873186100029455,NAZWY CECH: PRZYMIOTNIKI: Czy dziecko mówi...,mowa,item_381
piękny/śliczny,4.09086648792024,-1.52381375103794,NAZWY CECH: PRZYMIOTNIKI: Czy dziecko mówi...,mowa,item_401
boso/na bosaka,3.3622462702429,-0.27887454992433,NAZWY CECH: PRZYSŁÓWKI: Czy dziecko mówi...,mowa,item_410
prędko/szybko,4.80792022243786,-0.367591557582698,NAZWY CECH: PRZYSŁÓWKI: Czy dziecko mówi...,mowa,item_421
bać się,3.57155429565012,0.414238373984967,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_423
bawić się,5.45796580021667,1.34019451888043,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_424
biec/biegać,5.77699933535492,0.26930506444301,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_426
być (jest),3.04870412428586,-0.0174473009962934,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_429
chodzić (chodź),3.71023602418822,1.03893769684973,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_432
cieszyć się,4.76734951767335,-1.12386121125303,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_434
huśtać/bujać się,3.29869270152579,0.86401823482529,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_448
iść/pójść,3.19258243314058,1.4304331070533,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_449
jechać/jeździć,3.98850372819308,0.90102241661467,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_450
kąpać się,3.97838816936046,1.2321953329653,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_452
kłaść/położyć,4.48290600117835,-0.640195439997834,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_453
krzyczeć/wołać,5.7420168021786004,-0.919336393590871,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_456
lecieć/latać,4.56765976151962,-1.20627503963953,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_459
mieć (ma),2.08816906938114,0.797816564824745,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_463
móc (może),4.11598765351722,-1.13415899646993,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_465
mówić/powiedzieć,5.68167596036746,-0.949475413440119,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_466
musieć (musi),4.8314322005791,-1.42513981748417,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_467
myć (się),3.4258238040011,1.27279960691579,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_468
naprawiać/reperować,4.83566257530922,-1.63234326450172,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_470
nazywać się,4.78664582006986,-1.51537376487759,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_471
nieść/nosić,5.34963058699535,-1.59811835198137,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_472
obudzić (się),5.81069781599687,-0.804300709684168,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_473
oglądać/obejrzeć,5.8449655073480304,-0.370298280226449,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_474
palić (się),3.59372103772784,-1.31764300914427,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_477
patrzeć (patrz),4.31238940514786,-0.516065944497163,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_478
podobać się,5.18332593313372,-2.20829775226577,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_483
słyszeć/słuchać,6.11694231642745,-1.49582474028333,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_503
stukać/pukać,3.93846590627944,-0.563235522795735,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_507
śmiać się,5.34681002399488,-0.621553556858445,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_510
ubrać (się),5.70561819085848,-0.0602133735681856,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_514
uczyć się,5.00443332879158,-1.95192454431456,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_516
upaść/spaść,3.4097694810927,-0.395001652995196,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_518
usiąść/siadać,4.93008215797342,-0.391468847952951,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_519
uściskać/ukochać,4.86587648319546,-1.41689640371038,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_520
widzieć/zobaczyć,5.34195245531354,-1.04576685656866,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_522
włożyć/założyć,5.8325320399262,-1.47898609003429,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_524
zaświecić/zapalić,5.16843348896903,-0.87984541193139,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_531
zdjąć/ściągnąć,5.84230692065543,-1.25283898447745,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_532
zmęczyć się,6.16201071439358,-1.33627379643621,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_537
(nie) da się,3.08474747791981,-0.069364152302941,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_541
nie ma,1.88514491435472,1.96882692723552,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_542
(nie) można,3.74955077160424,-0.0353714982765265,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_543
(nie) trzeba,3.86107606116162,-1.31985821975358,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_544
(nie) wolno,2.9992500546339,0.839062301370632,NAZWY CZYNNOŚCI: CZASOWNIKI: Czy dziecko mówi...,mowa,item_545
na górę/na górze,3.94147504008895,0.465907546995239,OKREŚLENIA MIEJSCA: Czy dziecko mówi...,mowa,item_554
na dół/na dole,3.92193604822535,-0.0621665953933298,OKREŚLENIA MIEJSCA: Czy dziecko mówi...,mowa,item_555
z tyłu/do tyłu,4.21610932335432,-1.76496321654204,OKREŚLENIA MIEJSCA: Czy dziecko mówi...,mowa,item_556
z przodu/do przodu,4.32860153782861,-2.05856623069452,OKREŚLENIA MIEJSCA: Czy dziecko mówi...,mowa,item_557
w środku,4.20591358573807,-2.06248760491842,OKREŚLENIA MIEJSCA: Czy dziecko mówi...,mowa,item_558
już/już nie,2.24273202757068,0.679842552999097,OKREŚLENIA CZASU: Czy dziecko mówi...,mowa,item_562
jeszcze/jeszcze nie,3.16483491735015,-0.058604516604019,"OKREŚLENIA CZASU (w takich zdaniach jak np. „Jeszcze pisać!”, „Jeszcze raz mi to zrób!” albo „Jeszcze nie wypiłam”):: Czy dziecko mówi...",mowa,item_563
potem/później,3.45287666211017,-1.09185836173087,OKREŚLENIA CZASU: Czy dziecko mówi...,mowa,item_566
znowu/znów,4.11214757702157,-2.56655360325481,OKREŚLENIA CZASU: Czy dziecko mówi...,mowa,item_567
dzisiaj/dziś,3.97914078044798,-0.410697470666952,OKREŚLENIA CZASU: Czy dziecko mówi...,mowa,item_572
noc/w nocy,3.93416457033356,-0.270609114697116,OKREŚLENIA CZASU: Czy dziecko mówi...,mowa,item_577
trochę/troszkę,4.00897777085566,-1.33681067069958,OKREŚLENIA MIARY: Czy dziecko mówi...,mowa,item_582
wszystko/wszyscy,4.64316665380453,-1.94017339143024,OKREŚLENIA MIARY: Czy dziecko mówi...,mowa,item_586
sam/sama,2.69735299296907,1.00903716748242,OKREŚLENIA MIARY: Czy dziecko mówi...,mowa,item_592
dosyć/dość,2.45203206280856,-1.43439893532484,OKREŚLENIA MIARY: Czy dziecko mówi...,mowa,item_595
za (np. za dużo),3.38242520800629,-1.26124706098341,OKREŚLENIA MIARY: Czy dziecko mówi...,mowa,item_596
"ja (mi, mnie)",2.12387628763951,2.48342918529221,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_600
"ty (ci, cię)",2.3906964985151,0.990493850723955,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_601
on/go/mu,2.30085875172844,-0.276646138994365,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_602
ona/ją/jej,2.73152383032268,-0.796441586758002,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_603
"my (nam, nas)",2.92683284027323,-0.898654254515463,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_604
wy/was/wam,2.93848105638937,-2.01581750358272,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_605
oni/one/ich/je/im,2.87789479654541,-2.03890423021469,ZAIMKI OSOBOWE (KTO? KOGO? KOMU?): Czy dziecko mówi...,mowa,item_606
co to?/co to jest?,2.61357806057882,1.51116305098998,PYTANIA: Czy dziecko mówi...,mowa,item_626
co?,2.16760242306808,0.942427595537043,PYTANIA: Czy dziecko mówi...,mowa,item_627
co robi?,4.42997957440627,-0.229507230149746,PYTANIA: Czy dziecko mówi...,mowa,item_628
kto?,3.16512170258588,0.18018028889001,PYTANIA: Czy dziecko mówi...,mowa,item_629
czyj?,3.63720600757842,-2.46912318451528,PYTANIA: Czy dziecko mówi...,mowa,item_630
gdzie?,3.5468087374581,0.254347547313324,PYTANIA: Czy dziecko mówi...,mowa,item_631
kiedy?,4.33506934699563,-1.71653068829328,PYTANIA: Czy dziecko mówi...,mowa,item_632
jak?,3.39420933581606,-1.11558690514073,PYTANIA: Czy dziecko mówi...,mowa,item_633
dlaczego?/czemu?,4.16283122067142,-1.13497564474135,PYTANIA: Czy dziecko mówi...,mowa,item_634
po co?/na co?,3.34422579074158,-0.969974421118532,PYTANIA: Czy dziecko mówi...,mowa,item_635
jaki?,3.87724681700028,-1.22984899988863,PYTANIA: Czy dziecko mówi...,mowa,item_636
który?,4.0769063426818,-2.52050520443696,PYTANIA: Czy dziecko mówi...,mowa,item_637
ile?,3.46927641768851,-1.45323716282214,PYTANIA: Czy dziecko mówi...,mowa,item_638
na pewno,3.67135489043833,-2.88158659747945,PRZYSŁÓWKI MODALNE: Czy dziecko mówi...,mowa,item_641
w ogóle,3.08222752186298,-3.22470910488655,PRZYSŁÓWKI MODALNE: Czy dziecko mówi...,mowa,item_645
bez (np. bez czapki),3.33279618927953,-0.50854843262644,PRZYIMKI: Czy dziecko mówi...,mowa,item_647
dla (np. dla mamy),3.78034286114938,0.28742665674032,PRZYIMKI: Czy dziecko mówi...,mowa,item_648
"do (np. do pracy, do babci)",3.49003481367549,0.8628511425657,PRZYIMKI: Czy dziecko mówi...,mowa,item_649
na (np. na stole),3.45193035169337,0.345340552231818,PRZYIMKI: Czy dziecko mówi...,mowa,item_650
"koło/obok (np. koło szafy, obok taty)",3.6239725556439,-1.54066679169145,PRZYIMKI: Czy dziecko mówi...,mowa,item_651
od (np. od wujka),3.90865876805821,-0.405181754691675,PRZYIMKI: Czy dziecko mówi...,mowa,item_653
"po (np. po lesie, po wodę)",3.4542808726492,-1.02823050015232,PRZYIMKI: Czy dziecko mówi...,mowa,item_654
pod (np.pod stołem),3.89670551403293,-1.04692179493007,PRZYIMKI: Czy dziecko mówi...,mowa,item_655
"przed (np. przed sklepem, przed obiadem)",4.14589201909939,-2.72690707964453,PRZYIMKI: Czy dziecko mówi...,mowa,item_656
u (np. u cioci),2.96892459161226,0.0472107389466408,PRZYIMKI: Czy dziecko mówi...,mowa,item_657
w (np. w kuchni),3.79600433013851,-0.277100281627484,PRZYIMKI: Czy dziecko mówi...,mowa,item_658
za (np. za szafą),3.4048035276968,-1.3409704119377,PRZYIMKI: Czy dziecko mówi...,mowa,item_659
"z (np. z tatusiem, z cukrem)",3.38572034456345,0.139983635494325,PRZYIMKI: Czy dziecko mówi...,mowa,item_660
z (np. z łazienki),3.50564152488618,-1.15243531044377,PRZYIMKI: Czy dziecko mówi...,mowa,item_661
jak - (to),3.02031556853414,-1.70327620586575,"SPÓJNIKI (w takich zdaniach jak np. „Jak mama przyjdzie, (to) da mi jeść”):: Czy dziecko mówi...",mowa,item_667
miau,1.39371739195314,2.77476090080427,ODGŁOSY I WYKRZYKNIKI: Czy dziecko mówi...,mowa,item_5
baran,2.43218851626905,-0.218882801146765,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_13
biedronka,3.62914761480539,0.137552682080597,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_14
bocian,2.94407382359956,-0.313491646382157,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_15
foka,2.55957280091337,-0.766435752842612,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_16
gęś,2.12486396458668,-0.63991951848449,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_17
gołąb,2.58828092910118,-0.778822227673522,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_18
jeż,2.90384908886915,-0.541320587138989,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_19
kaczka,2.61745446867518,1.15872819917222,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_20
kogut,2.35911409140276,0.078022799598401,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_21
koń,2.76939284929902,1.73377531856156,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_22
kot,2.57984930698647,3.09791307250874,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_23
koza,2.69385504908537,-0.130457503495296,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_24
krowa,2.76039152718757,1.74958601209328,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_25
królik,3.17760923286518,0.059237774199528,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_26
kura,2.67219376263308,1.81217983182311,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_27
kurczątko,2.12130208121248,-1.28426794207714,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_28
lew,2.84931995420788,0.483631630366036,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_29
lis,2.72881291916538,-0.223457821258629,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_30
małpa,3.08076469909586,0.402440461970141,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_31
motylek,3.75511011537198,0.0688459017364376,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_33
mrówka,3.63111979795676,-0.836163635983687,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_34
mucha,3.10082603959648,1.26775502003198,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_35
myszka,3.42394250994908,0.621529155842791,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_36
pająk,3.44847817770108,-0.381836324795931,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_37
pies,2.47825260655702,2.51869108310236,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_38
pingwin,3.04759380442857,-1.0842629415634,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_39
ptaszek,3.17785910510027,0.893116941004892,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_40
robak,3.67218870743192,-0.279306256929056,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_41
ryba,3.49077351783698,1.49915639345999,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_42
słoń,3.25659770777521,0.518501835950187,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_43
sowa,2.61800450828533,-0.317945382092328,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_44
ślimak,3.70241201952437,-0.267959173566484,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_45
świnka,3.02532917571525,0.532678322356117,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_46
tygrys,2.96679116326229,-0.623175169211072,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_47
wąż,2.86568133014559,-0.443373544734254,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_48
wiewiórka,3.47521756389865,-0.990356676029894,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_49
wilk,2.97070285646347,-0.701728147599792,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_50
zając,3.44222234897136,-0.719123801987967,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_51
zwierzątko,3.89774975776959,-1.31103098908459,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_52
żaba,3.13471382767468,1.12041603246066,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_53
żółw,3.34948328205231,-0.450125366006435,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_54
żyrafa,3.35873954472994,-0.43092226639788,ZWIERZĘTA – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_55
autobus,2.88726908658831,0.660176474526436,POJAZDY – PRAWDZIWE LUB ZABAWKOWE: Czy dziecko mówi...,mowa,item_57
